"Sanctions, Countries"
Croatia
Bosnia
Slovenia
Serbia
Montenegro
Kosovo
Macedonia
Romania
Bulgaria
Albania
Greece
Turkey
Central African Republic
Congo - Kinshasa
Cuba
Iran
Iraq
Lebanon
Libya
North Korea
Sudan
Somalia
South Sudan
Syria
Ukraine
Russia
Venezuela
Yemen
Zimbabwe
Myanmar
Cote d'Ivoire
